address,RNP_Points,RNP_primary_STO,RNP_final_STO
0x64aae205199a46479d16ac95b2700c0502a682c3,17308713,4734.672594153679794559,4734.672594153679794559
0x8c62efb31a91d74555f9c9386660cfedf1347645,17271720,4724.553427969831978916,4724.553427969831978916
0x53856c7e3d31416366d30d65e80640590fd789c6,17079696,4672.026658924683087207,4672.026658924683087207
0xe0b6865d3afeb897d37760b2cec945949a27f52d,16924464,4629.564073974798943777,4629.564073974798943777
0x8dcac18996dc58b5eebfdc5d0a7b22e0b951a4b7,16865680,4613.484138177450526651,4613.484138177450526651
0x231be9473f9433df0d2e34547b05c6dfb97c8f5b,16850470,4609.323553265269160557,4609.323553265269160557
0xe5859cbc7a5c954d33480e67266c2bbc919a966e,16798244,4595.037510686466792007,4595.037510686466792007
0x4bd3bada375be7c9de37dde1c8c2af60c97f9776,16640000,4551.751015036024445114,4551.751015036024445114
0x9db87d302d3442ef6108510aa08f276a82724633,16504445,4514.670930369966254389,4514.670930369966254389
0x9b370d8eb68a7a36535cb4c2d1996e95f74d4a3a,16380000,4480.629905426086563159,4480.629905426086563159
0xdb9e8fe7875a37d51291daa54c303a0fea124d41,16331122,4467.259683904876779335,4467.259683904876779335
0x70b20209c83ec8d01e3c7f2ec77bde7c40cdf2f6,16309723,4461.406143041249622659,4461.406143041249622659
0xd2a08f0d681510ecaf5c9bd35be4f14777e5ec67,16302990,4459.564379845081500508,4459.564379845081500508
0x300f465a5cf74360d1c3a2b1cd366aff558066d8,16189745,4428.587033469014518039,4428.587033469014518039
0xa03fd4c352c9f09d84a55212ca4e768c16e5beb0,16133634,4413.238277387002116137,4413.238277387002116137
0xc6325f5da5599974aa22d2eae00fc96231aa2f5e,16100656,4404.217385261169302787,4404.217385261169302787
0x26a443b6a388530f3852f48443cd50d75a070964,15830620,4330.351000820287818588,4330.351000820287818588
0x9c7e7847feb8b2d411cf610f9cb775196c6efa20,15810208,4324.767446630449156871,4324.767446630449156871
0x1f3e61b70ed40f4c5f027c91b41609bf0c23778d,15733845,4303.878903195281131949,4303.878903195281131949
0xbda784a9f1b0e9d0bf8b8fd45829dfcf623d92bc,15565290,4257.771908463346210053,4257.771908463346210053
0x00916025d976376f2d6a043ab196f23bcb631e67,15558840,4256.007557859561212597,4256.007557859561212597
0x7e7bdb8f03a525691aac735b45b7796c82a9cf46,15552735,4254.337579497374017331,4254.337579497374017331
0x45a14f5dd577c5384ac9f5e4865050a432f51860,15338484,4195.730776208763243689,4195.730776208763243689
0x6fae86071a913d66bbc3b10857581370d653dce9,15238912,4168.493579569991186835,4168.493579569991186835
0x681375ec7e1dc9372f187ff8bdfa04df89b90fa0,14972735,4095.682796521358742200,4095.682796521358742200
0xbd39e14171c6822574dfa90efb1442c3e61e309b,14962067,4092.764642685517137105,4092.764642685517137105
0x64017a6601b3fb04293101a2fb3cfe0b47f403bf,14933120,4084.846401301367629917,4084.846401301367629917
0x351c6a9219edc7df744a44ef309cd662b0939d53,14909400,4078.357967763107143148,4078.357967763107143148
0x592705cdb9cc2d2bf2219ddc79452edccd94539e,14805504,4049.937972362975965519,4049.937972362975965519
0x1da6909a1261194c1662a1fbaa535be463155458,14506112,3968.041467561673956464,3968.041467561673956464
0xc99f3964b77af2a985978970c1d1fea015d2420f,14327651,3919.224758553600401266,3919.224758553600401266
0x06a61af4abe9d0ae303d774ed14010c0303345c0,14297010,3910.843135786069221877,3910.843135786069221877
0x9caf88f8d02ded06764ca2047e4c4d9fad5c59bd,14160102,3873.392947807310085175,3873.392947807310085175
0x4a7b655db21af0fc6bf1d5e7957713fbea9a0031,14023584,3836.049441492965855295,3836.049441492965855295
0x7ad8f3dcf26f6c3d27fea73f9ffd3eb504b4929b,14000000,3829.598209765885951418,3829.598209765885951418
0x228c4f06545df44aaa2517ea238ea293e4b7d1ce,13727265,3754.993533498707458207,3754.993533498707458207
0xd4ecdb3e294b22636c64376758d3f7fb84ed7f48,13713856,3751.325599041939546441,3751.325599041939546441
0xda465b6d4af8bfef08d428016eae4bb50b99a636,13561416,3709.626745392174428267,3709.626745392174428267
0x0e148ed05bc33c875b1c592fe2b224a01c17a34b,13498308,3692.364010833466890365,3692.364010833466890365
0x5c8a58b4704307311c55992e1aabb90d65f12233,13221920,3616.760082976268769912,3616.760082976268769912
0x4975c1147f8f2168adfc860ca2cb90bc53eba313,13188798,3607.699800697421221735,3607.699800697421221735
0x72288d2c274946ee3baa7dfd25696a2f03839228,13093862,3581.730748151540211115,3581.730748151540211115
0x196b37072795fa82eaa899277a6bd19b66de651d,13081817,3578.435925977495204237,3578.435925977495204237
0x421d622d01f648a156b7c0a07920c2d167f2dddd,13076792,3577.061373762918520173,3577.061373762918520173
0x3b263fed4d62890d0ccef0f489ed63b120a6f688,13007794,3558.187472528816620253,3558.187472528816620253
0x4332d1f7b610da1a49fe1a2224ddfc4b1f71a405,12914728,3532.729944886668624399,3532.729944886668624399
0x1d22d6b41ece14e2a2c5b4de0739c0056a05f0ea,12739314,3484.746720574677687379,3484.746720574677687379
0xb9d6a9d3b1e4edb4304cc1f679d191abd293f237,12531840,3427.993716362322871530,3427.993716362322871530
0xb5b4341a500417436311dbff94199085ce74a13d,12503100,3420.132098323132045655,3420.132098323132045655
0x7da89da0ce783b6339cc6730e19b15354cc3952e,12497724,3418.661532610581945450,3418.661532610581945450
0xa87d392081f851267564be42f6ded10c7fc83761,12489182,3416.324930617166217036,3416.324930617166217036
0x649b92a063186697a6872f680426941774202297,12473570,3412.054381527818716216,3412.054381527818716216
0x249605b044c0d33da9ad37f37f292d711d802d33,12462775,3409.101487765359949156,3409.101487765359949156
0xf63022a7c2ea2c27c905d8fbb2da5dd59a1a9525,12455300,3407.056755864074235050,3407.056755864074235050
0x42461b974f3af81645ddde66490a1e31fe3ecebb,12451072,3405.900217204724937492,3405.900217204724937492
0x460cdc75952b8f09a5be0666e76ac3af8836019f,12360030,3380.996340046617381150,3380.996340046617381150
0x2ae4692a4fe7c880bed3103fd680e98c39a22d37,12269136,3356.132947212441635603,3356.132947212441635603
