Address,mint_cSTONE
0xa10edcd8389c1b65150cb9eb9711e775857fb2c5,T
0xec33c4ae96ce7ea12d9df54263eaf838d2ab7097,T
0x17dca2dd727d820f59e50587dbe19cfa26d896dd,T
0x14d990f3ad27921c8b37f15b75aee1a90dcc4f60,T
0xfcd7b93a7b3f4f1276f1e89b63d22f1ef4b4bf37,T
0x91b7b887b352794b662ced1033a2f9ff1f336ca5,T
0x4b309e1f48fb14e2482a167f6799c5350b27685f,T
0x3cd3ece9912078250f2cb611c3e111f0dcd55748,F
0xffdff1c67375eff5007a304bce4ca9f0c8e9084d,T
0x235ce2330a76bdccd73a64685f05709b95487b73,T
0xf0edcb702fad4980b6ec168ec92a1ac08554af9f,T
0x9b8907154ba2f3ed3eced14d2cba91d5f15706eb,T
0x362b9ec6f65044b0c57cb84f4d720920d381e5c9,F
0xfdab3be33284ef68442f55535ffc0b1fcbad2b62,F
0x248fb14775605f45c22be0b7586caddb6978258b,T
0x75c16e1f4d62aae68fafb27484bcff4be9656bf6,T
0xbc376300c4b95c0b57db7784ff7a3a919aa6077f,T
0x720e028e118270887f87e8b43fb176a9d18b9bbf,T
0xd6fc561a9e9a80e799c4fdbb8fa31ac01d60e3fb,T
0x2d607f550aedeff20213e4ff93b62e1747761dac,T
0x6dfb0d90de382a7bb554c52e7e41c1b3771a9bd3,T
0xfbbc19cfe2616cca75e71fc1f0bd7cf2e402926f,T
0x0530b6f4088fbdfa43945a07f35075bb57c341e4,F
0x9eac878b0146c1d0cdf31dc738a173c5cfec9694,F
0x2c07b144d2a61a6a511cda28b5bb4c1c8a130d02,T
0xb93a851f49b680109f47174ed0bcb1f9e65295e4,T
0xb2ec19d7bc4a6f14cc296faefc14c6e1459acb7b,T
0xab990612f9e34c8d18e6b1b36e2568e9bcd34a94,T
0x2063007cd57cf248b4bf97e01c4de194a15bb065,T
0x4849bd8a18a94f7a081bae795ca22ef64feaec86,T
0x38a1868532af93d272e310cdaedc419bd046ad26,T
0x63bee620ebfd173d74a4be25eb330c52ea3cb6d4,T
0xbc138afc54e85664116fcfa83853713a1f6dbe85,T
0xcde3efd611c478d435d3fe513e05e0ed65e803cb,T
0xf7e2bd9cba282781932d5bbc74152e1664b3f515,T
0x9a2f1fdcf967197d6d93e428fedd0e5797dc723f,T
0xe4890f0f3fa56a4c63d6a889ac93cd97a6af0355,T
0xe16f9b1c0fe4ffa7ae616b4a07169b9529bcb642,T
0xce6564d03bb29974cd28c861490a581627aedf10,T
0xfab075f23a860b044f605fd1022760bfc5d531c9,T
0xbea51908f7c3c6cae03a3724ad43f8d03399b876,T
0x570d4f513d7d046886979297d7f4791d14777777,T
0x0e6ae90ded8034244d5fec13560d4c2e0f43a3d0,T
0x40b66c5814889dcef2d76038901e3c958a05bb82,T
0xeebe72fd34b4a1fa3de260d2908a3df4f566282e,T
0x47b25dfe7d9c3f36e152e4f46a718d964b4c3081,F
0x782bb1c3962cc5c2efde489eb56b1d359ac91be9,F
0xc09071af7d02ab078133af7594859761c2203a4d,T
0x5139b3cb353e6c5755ca092ec175b2cc0ee734c8,F
0x42bb183773d227edd09cf20718c55e3b2d52fd35,T
0xc2437af081d76c4770c3da471b7afab847259892,T
0xc1a61c7bdf03cc9080d4bf2a4cc352e7f52c4abe,T
0x79e4a161ae6dc6c233bb2a5eecb66f6706c8045d,F
0xd6721b2ae564d265863e9b26d234cc621e01e7db,T
0xce0edaf00e9701c6fec7bd61a2d95d0bec2259c6,T
0x76d2e099d49bf695ee6d1738e7f17cdf6a2a4344,T
0xe0be61bf9da13ac551f210c2fd729a27ccd81e46,T
0xa0063128c0169361dfd9b30296e206465a64681c,T
0x0790d382d4b219177af9637cccc459adc7c8180a,T
