Address,Total_Amount
0x59f74cc8fbe822f5a1c7a8365542c57c632404d8,0.5029810339870076
0x5ce6a7f1daac0c61fe2691284bf0bcfc4cedb321,0.5025481733575086
0x1c20b756f320f5d9b76cdfb35480858c0a9c2fc9,0.502
0xcca4090f3235eb6f8cbd3baa3c850f4c4feb475b,0.501457
0x47fa0c6b40b4dfb925ae81f199c3e7ccbfdf0497,0.5007
0x4e90e9470c7f82384bceb66b5c8d8b2b3182ee12,0.5000649851973533
0xeaf73d42aebe1a08c9e3d6d2f8cdbf23abe52cac,0.500022354472525
0x473103fd575cbccbce6cef3f69bce9cc250c5a0b,0.5
0x1230be1e811583396538ba6205f9f7a00320c47b,0.5
0x21dbf0ef37b8d27c8b5c0df41008df29409accec,0.5
0x08e6a1a94ac56e391a54327efa56816dd8129df6,0.5
0x6aaf73f42555f6c9a7b4086a676ffb26e6289ea1,0.499706
0x7de11e47a0aa90413938c2b593e4b35008a8c9b7,0.4993319680706749
0x24a2aaf4fd7d966e63e283aa6b6a47ab27c57413,0.499
0x521484f5a09e7339e2911b26a02846138d5e8ee8,0.4987
0x5134b2e0f304b77f38b64dc52cf84234fad72925,0.498303
0xb964f93dfa2ef37252b0390f2ef97679cc07015e,0.49830181841936727
0x6b913d006cc3f85565b16f85a0f2798355de1e16,0.49762106753800206
0xa056f6efce05087d39975aee348fae21799b154f,0.4968663769569374
0xa9e7326d8c90f6b6f869b9d852f76c41ff2e4751,0.496077384830238
0xfd7231566dedffa49d64caead03d2df2a06145ef,0.4937219454699452
0xd7454a20c6df478f057505d6f93b7e99a03175b7,0.49362699859986314
0x2b3f52cff90070443c2c7befa3ae7ac55a78a712,0.493412
0x57503fa42086300cda9fcee6fa95915f5bb04680,0.49316067032383026
0x1b99648930b8e7c0317d395b130ec024ca16051f,0.4931189883561404
0xa8ac77b17745c73640d4e3bc51b9efbc1ea2013d,0.4930278092801043
0x99913d6a2dab06c66418e5f3b0d8e482b2b05ca3,0.4929851198472611
0x740e4d1b0202e557c5f2ef46361a22508ff5c6de,0.49294272662364697
0x0bfd50af8da714cd1eba111fd7a12eee56593131,0.4929019869349623
0x39b8f1b61a1ebc1c15ba276bb9bcbca64b603369,0.4927
0xe292e4b18a9384301d31487dc3b2b61be4dd3831,0.49264685500923966
0xf1bece5b623699ca4be4da680c8261e10fd91731,0.49255122211372965
