user,holdDuration,holdAvgBalance,holdLastBalance,holdWeight,pancakeWeight,finalWeight
0x99d853a3eb78428d46b48ff9f75b9fb141eb1f78,604800,5003.421188989559719866,5003.421188989559719866,35023.948322926918039049,0,35023.948322926917171571
0xe0177af4dd48bf49e9c8ab183388b7b26e50f92c,604800,4976.652296681510499258,4976.652296681510499258,34836.566076770573494794,0,34836.566076770570361987
0x80f22b126c2c3c1e9df7fca3ad4867ac24090e0f,604800,4917.886930512671644788,4917.886930512671644788,34425.208513588701513499,0,34425.208513588702771813
0xa3c9e754032a4a2c315538cf13029e6f99ac5aba,604800,4903.481650662396675930,4903.481650662396675930,34324.371554636776731496,0,34324.371554636774817482
0x689cfb3d7b700ad2179a09ec3914d4721d039853,604800,4619.029308270388905973,4279.843093832422668913,32333.205157892722341800,0,32333.205157892723946134
0x153f53c1d7a70e403ef74865e5c2f21b1b5d16f4,604800,4601.661823707482142071,4601.661823707482142071,32211.632765952374994481,0,32211.632765952374029439
0x7d5bb80ee053d94293437e700599f680e784c5c5,497791,4816.292566771331372968,5006.013958735661225467,27748.924688723007123615,0,27748.924688723007420776
0x5d136f7d3c61c6ea22f34006908fe12d392b0b06,604800,3909.979028669052779373,3909.979028669052779373,27369.853200683369455597,0,27369.853200683370232582
0xd0af2d72d13b277a189e35a1a6b577704eb1ae29,604800,2641.066958524238301628,2641.066958524238301628,18487.468709669668111383,0,18487.468709669668896822
0x7cb834cc932494613606eb5b50fbe69ab306c64e,604800,2133.757787834684938970,2133.757787834684938970,14936.304514842794572776,0,14936.304514842795470031
0x59c63943f15a35066140e5fe4e8fe0592987614b,604800,2032.285730892977124612,2032.285730892977124612,14226.000116250839872270,0,14226.000116250839710119
0x8e2d5b63493166cfe8a0f4cabf141537c1c0ae68,604800,1621.660540533247373828,1621.660540533247373828,11351.623783732731616781,0,11351.623783732731681084
0x935a7a6090f49404a9708d6ab0aa6066ee0877ad,604800,1587.535385424556800868,1587.535385424556800868,11112.747697971897606062,0,11112.747697971897650859
0x40af8a35225e59236e207557f5bda3c176f73ffe,604800,1375.732241683006885372,1375.732241683006885372,9630.125691781048197590,0,9630.125691781047862605
0x601120fbf3b8cf349485386cb698db87da810f66,604800,1239.111254134123567052,1239.111254134123567052,8673.778778938864969350,0,8673.778778938865798409
0x62e265c68730fcf3a88dbf836eafd9d95d255259,604800,1008.647772955384690473,1008.647772955384690473,7060.534410687692833300,0,7060.534410687692798092
0x81717be6139d726d6f19b22d99507d61d3742096,604800,1003.003574491331403045,1003.003574491331403045,7021.025021439319821300,0,7021.025021439319971250
0x0f39539a6f1e99bac8e63d30e59b17d22121a11c,604800,991.637197612658536165,991.637197612658536165,6941.460383288609753141,0,6941.460383288609591546
0xe4b551b5e40d2dbaea7f39f1ca3ff2fd41e70eab,604800,989.120263582411301320,989.120263582411301320,6923.841845076879109228,0,6923.841845076879508269
0xc70a8cd6686bed6b986fa04cb6a64736e28b9658,604800,979.549272079096709448,979.549272079096709448,6856.844904553676966127,0,6856.844904553677224612
0x78e9ad2c65440b6155373e9e5a18e8d26327c96d,604800,969.337525329982155674,969.337525329982155674,6785.362677309875089704,0,6785.362677309874925413
0x9996413ab1a4f1bb09fc65ca5c7b6a2c13ec3092,604800,959.466986604418009493,959.466986604418009493,6716.268906230926066437,0,6716.268906230926404533
0x58b97d74c87aa02862d1875413a50b6904de6462,604800,938.527378440076157577,938.527378440076157577,6569.691649080533103025,0,6569.691649080533352389
0xe2f5a8060ba9680ce4dcb0fe5c0285e42d3e0286,604800,851.434661339291617261,851.434661339291617261,5960.042629375041320812,0,5960.042629375041542517
0xfabbdfc4d456b53b0118e3843cfd4aea7c228ae3,604800,692.494475935670345364,692.494475935670345364,4847.461331549692417533,0,4847.461331549692658882
0x69729454c74269ec6476bc4533a3fb5e7d5c2c4a,402934,954.786333090379231150,954.786333090379231150,4452.730050201838716705,0,4452.730050201838821522
0x11754d905ffca6b92e453272356b96d09b41871c,604800,503.579174448972403039,503.579174448972403039,3525.054221142806821259,0,3525.054221142806909484
0xa23f69a3442eb430fd5917de726dfdcccef9af5c,604800,502.014142057562673486,502.014142057562673486,3514.098994402938714389,0,3514.098994402938842541
0xf688a9989f8ea3c8f51c8bf26a545afaf1b17829,306944,975.519738170325343755,975.519738170325343755,3465.624195751763221212,0,3465.624195751763181761
0xc6d4468fc214280dcd5ea4ab2b0d5dc774d9fad8,604800,491.826863152833081333,491.826863152833081333,3442.788042069831569318,0,3442.788042069831590197
0x799839af7e51bfb88c1b1541a7c595441f0d16d2,604800,491.412285010074961766,491.412285010074961766,3439.885995070524732348,0,3439.885995070524586481
0x8a5d5dde858191f83f65e1df4ecce3f4706b9d06,604800,480.498336516299969256,480.498336516299969256,3363.488355614099784777,0,3363.488355614099873492
0x9b2721ce3b23d014ffd1009f189787966ae5ad5a,604800,404.629162084218208784,404.629162084218208784,2832.404134589527461473,0,2832.404134589527529897
0xde9cec67ce511d51c4632e24927e2a4d8b6dddd0,2351,103868.998393861286029838,103868.998393861286029838,2826.342768795924577038,0,2826.342768795924712322
0x0f8edb731ffebe57650e34b8331fe8f3784cb1bd,533497,395.109717110711785174,782.943135199362625937,2439.697323488581079329,0,2439.697323488580877893
0xcc2b187ba470c8bd3c4a01b1d01c2c95f87b888f,604800,305.410099752867005529,305.410099752867005529,2137.870698270069038690,0,2137.870698270069169666
0x129233e22acefb24376fe19adf06eeec8b77073d,604800,179.994661656763782199,179.994661656763782199,1259.962631597346475380,0,1259.962631597346444323
0x865d17d9b5622fafa5daf299f28fde885e399164,604800,115.378646250488975963,115.378646250488975963,807.650523753422831727,0,807.650523753422817208
0x54919573f658695a22c962b7de9759126082bdb2,604800,106.743734534200448312,106.743734534200448312,747.206141739403138171,0,747.206141739403165047
0xfc8ee8823400e50017f91b0922c7b5bc789f9296,604800,103.924715825180388380,103.924715825180388380,727.473010776262718641,0,727.473010776262754007
0x7812778246b3fe290a97e4ade9fa8abb3c183b98,604800,98.357738610253432895,98.357738610253432895,688.504170271774030248,0,688.504170271774000867
0x2e3026c06dbf0777506d2ea9541e54f511693884,604800,97.870003540809430270,97.870003540809430270,685.090024785666011878,0,685.090024785666059870
0x8e8df055624250f6b3dca93d3357cd3f55d93a0d,604800,79.349919126598450629,79.349919126598450629,555.449433886189154387,0,555.449433886189126497
0xc3c769395eb95f49e98784e30823cd659f24d6e7,410191,97.917969077540370573,97.917969077540370573,464.873491364413913714,0,464.873491364413894189
0x2e2316088c015f4bf27d86a1458a707af536a324,604800,52.197727544774808438,52.197727544774808438,365.384092813423659052,0,365.384092813423649204
0x2791ff23218b3be5a62698fef19fc04ec6be6a86,604800,51.023810127128353001,51.023810127128353001,357.166670889898470993,0,357.166670889898455243
0x44ee5131a0fe22a9c330866410a087cb01d4cda4,604800,47.815970042155052356,47.815970042155052356,334.711790295085366478,0.000000000000000000,334.711790295085393154
0x0f682c6f6373bb442bd5afedaf761359a7c2afdd,604800,46.585893023229534258,46.585893023229534258,326.101251162606739791,0,326.101251162606729395
0xecb14c0d0fc162b72c247488e4492a49c78cc751,253134,99.839723296868214271,101.765569678141022019,292.509589317470353598,0,292.509589317470329206
0x70fbb16991c7bc57dc02dd4c1b00b51336da2621,405652,48.330679318567898252,48.330679318567898252,226.914776932126215981,0,226.914776932126216025
0x41d2e73df8180ed5b95462fbfb6b6210b1446571,604800,21.760644225678921444,21.760644225678921444,152.324509579752450091,0,152.324509579752458421
