idx,holder
306,0x1b54dfff8aa09f16fb2aae02e0eb4d6f6a3be96f
307,0xf59df0641e90b52c8e816475fcd6bc67076b5797
308,0x8902189240487de95b14e5292f7b364a3315808f
309,0xc53f81dba741cbbca83fe983316f637f86b54285
310,0xb75bbbb88eec89392002d9c0b38a280f42f0152a
311,0x3ac7f56be3573b99348a493537e63701920d5720
312,0x4b66eee7a25d7add318724b781e919df4041da99
313,0x758c25d0ae6fcd6e6f691ef035a2e738764b94b1
314,0xa398166c56af9510a72724e7786703428e7017b0
315,0x2dcd5b2a6897305de4da2bf2b9c73a7ded8972b8
316,0x840c901031ff38f76e0238b6afc148f4251f1110
317,0x075094c5fc47a22876a5e7fec497c5c6adce769d
318,0x7a64f1c2169af05eb5352813c11da45d610ec9a3
319,0x30c89318df46ee95715055eb38307a0b6a10d4f1
320,0x6eacd4ef40efb3663a42916149ee038b3308cdf5
321,0x3fdfe2e82c8758d52ee7d3eddf5ec69b8c25eac5
322,0xa703eab633e546361751b62cec0cb50d5b8875b8
323,0x11f81bf5ad3f7e373adcacfc59940b1eb4e6f3da
324,0x78387e1efd244fc9ac45ddf65361dbbe00686c1e
325,0xa72144538e8a62bfd72a0314f0442e256d6e911d
326,0x1e8a4ec0a8546c532a929c7d53fc3e8853b963f1
327,0xf138bafe12392bc52b6a720275975e61ee6d9138
328,0x0bd23f89dce8faa154bc510517a8fab364655b6f
329,0x2c499adf6965b29771a61b3f5092001b1fd2d8d0
330,0x0b9d68ae51bbe4d370bd0c917c5483342f37af00
331,0x482d666d6677f3511c21cec233f2bd3cf5847f1f
332,0x70f180853e7b5c04950f2356e923f85bc338d5a1
333,0xf36a444a76176edf130908afea9f264c9af87b2c
334,0x68ca326af20cfb93848413495fe8599b6aeff997
335,0xe6bde5c42a4ba98750e4fa3915571d800237f7f3
336,0x357187bb8a34deedcfe83b31b98192c3a4356266
337,0xfc2d159282033cc18cd0d555b71f461561dbd2c6
338,0x2f2e2c5adf663655209009e521091080b508bade
339,0x1d119b4983d407a7341a0ec0e52428bc2c3564b5
340,0xd8a25a493917b1f6f6434d14994677ff4ecb33a2
341,0xfd7874781b8dd8e87703d1facb4f8c010cd9151c
342,0xcd69a2e92a76ab3619b66a5ca399f4b808fbff02
343,0x7db5c67b717f81c992b3adfcbb9f65881195bc16
344,0x14b3a64f8ab5c4b5e8335b1c19c98174e439698e
345,0xe4727b6230bc592e35c663dcb9c74c2c9d490810
346,0xae6bd7b9ad935b86a3a490d9f6cd0e8cf19fac42
347,0x8e3d10fb4659db7715f4fc59faf126251c18cede
348,0x4ce4ccd5a1bf98e62dbaedbb3554ea9f38029d0c
349,0x01bc815f382af8fefdd09f49a4ced75972537c18
350,0xa63ce71d9e2b3807ae61fc2a3433d390fb58549a
351,0xb8b308aa88ca6d1dffedf6976ec58008f44113b0
352,0xef5f5d1695b4a0e8e87a1c71a0cd01af85ca9819
353,0x8792f5a13c880649c4aab22fc238ef03df1e782a
354,0x3d1950f256cd0679eec5fde1cdd8310d23159744
355,0xa9d544a8aca503c23dc4e0ef3158f3603facbe47
356,0x7751d8ee49ca8bc8367bf211a8f0190f4227d4f6
357,0xd5c8873293db1dbf886d7fc39edc3b527548eb31
358,0x4a2bcb2628dad5e5e55aa86bcff76ecc81078c82
359,0xd0392e43557dad622db230c515ede5810e085ec4
360,0xa6bd5c1fe9ba9bb255b37d654ea0d07873c89bc7
361,0xa8dabbab5889815cd42095de3bf079f099d86ed9
362,0xe08cffdbd07a138aa485b96d56da921e091f1c9f
363,0x8c459cae1586890c465cabf8afe01c206374b175
364,0x0b099bbb5ec03669ffa7a4e4fd6fafd52b757155
365,0x4913e4cb3c37cd1b31d5cdfe31b85d547d4546ce
366,0xee46cd250663c81051afb617340ce841ed772606
367,0x036068bdd86b19dcd6403b129791e447a1bc289a
368,0xf6ccf8751fd02de2e14cdf0ff0aa36d6e7a1ab28
369,0x11e465c310970d535bf61dd57095519ad38877ef
370,0x38a44113eb05c92d268221395270d1677b4d239f
371,0xdcd9c70a58de29e32fd12ded7e90ce60981bc41e
372,0xb35cd625624df41313703b106a833ec9c6a3dd3e
373,0xbbbc4f208d24a2a1e0a4f4ccb8989320676819f2
374,0x3d31b6eccd7a3109e8a497c4273b5d71f121dad4
375,0x178e0874bc2516214b947703bb2e558ae11b4b45
376,0xfdce5951f9c4a64c397ed3ba8ed6408e10df2b8c
377,0xfacb257e9ee9804879927cb957f75a257ac43b5b
378,0x9ed052491532652c2bfd00fa5f34c39bf0bedcb4
379,0xe9f6199039b6ce0973021e08734d42358eb2b961
380,0xcc478dcd4275a2ad00b0fc3dffbdfb667bbba277
381,0xf074dd33189b9e68e569fcf5dd5202d6827be0d3
382,0xa959613a9d0cc5cb7f2bda529c18aea0c3cf8d9b
383,0xd86d5c4e9078f8c78042cbc25ea3e9b72902085b
384,0x75ab91f95ce6396f2776c74cf835b7074ee1546f
385,0x08654d0c203264d846d4f6c0c7f09d744d6a8209
386,0xbc8a52163f76ce650d91ebb73d6a975ebb135279
387,0x9277427faecdb247214f5b8d817e7139688bc860
388,0x9c57027b1eca93093a6f446422c59c85a5a3fa52
389,0x14a05782a595e76052b5043be47151b6a19331a1
390,0x5764b12084c169c7866a5a829d30b7e872f004f9
391,0xbd753b736a5ce57f37ba264f7a9c3191d7a8f60f
392,0x73f5e161d8d253e231efccee5973455279e6c6ff
393,0x4bbfb7eb2da16dee8c0f7ba7ec7dfdcf2b111504
394,0x5353d57398a1d5cc3f715df0a365d4b5f2a4044b
395,0x05cca6ff180c7f8039060424dd6ee51db7619b75
396,0x45b2b729af1f7edeeb74ce99949c27f9717157c5
397,0x94cfaedb4d9a397129cdcf928e611e06d9bc2ae8
398,0xc32de03e195fa0e2e59338968c37d53b7a151c98
399,0x8aa80c8635c90195d8c7ab55f58a132831a40e9a
400,0x61db86acd2edad2d2841ee9636ddf65c5e35784f
